friends,followes,date
0,0,817
0,0,803
0,0,820
353664,342787,792
0,0,814
0,0,820
353664,342787,806
596749,561904,819
0,0,813
942660,944956,803
393286,241968,820
0,0,820
0,0,820
0,0,814
0,0,809
0,0,790
0,0,820
0,0,812
0,0,820
416437,418488,818
247478,141344,818
0,0,820
0,0,801
0,0,809
0,0,807
569990,975522,815
625017,615966,793
0,0,801
0,0,804
0,0,817
0,0,797
0,0,805
0,0,820
0,0,813
127093,128617,814
127093,128617,814
0,0,808
0,0,814
353664,342787,815
0,0,805
0,0,818
0,0,799
0,0,807
0,0,810
353664,342787,812
625017,615966,816
0,0,817
0,0,815
0,0,804
596749,561904,819
0,0,814
0,0,819
0,0,820
372227,304568,793
0,0,808
0,0,817
34089,34114,809
596749,561904,819
0,0,804
0,0,808
108241,107041,794
0,0,792
21812,22454,803
34089,34114,805
0,0,816
0,0,812
596749,561904,818
0,0,815
353664,342787,814
0,0,808
894063,903261,813
0,0,798
0,0,816
0,0,807
18888,18517,814
0,0,817
247478,141344,816
353664,342787,806
353664,342787,796
0,0,803
0,0,807
353664,342787,794
894063,903261,815
0,0,809
0,0,814
569990,975522,818
0,0,818
0,0,811
0,0,812
0,0,820
0,0,820
0,0,819
0,0,817
416437,418488,819
0,0,798
0,0,812
0,0,806
714,782,820
596749,561904,818
44978,43166,808
569990,975522,805
0,0,815
37715,36421,811
17913,17979,800
0,0,804
942660,944956,814
0,0,812
17913,17979,803
0,0,804
0,0,820
0,0,804
0,0,818
0,0,790
596749,561904,819
0,0,810
0,0,796
0,0,806
0,0,793
372227,304568,809
0,0,815
0,0,809
0,0,816
0,0,812
0,0,800
0,0,817
0,0,798
0,0,800
0,0,820
0,0,820
0,0,816
0,0,805
23390,23847,818
596749,561904,819
0,0,819
0,0,802
0,0,809
127093,128617,814
0,0,812
596749,561904,818
59051,60734,815
0,0,818
0,0,814
942660,944956,810
127093,128617,814
0,0,813
0,0,797
247478,141344,817
894063,903261,812
246043,515530,818
0,0,811
0,0,814
0,0,808
0,0,816
0,0,817
0,0,820
59051,60734,798
569990,975522,809
0,0,815
0,0,804
0,0,818
353664,342787,806
0,0,807
569990,975522,811
353664,342787,799
0,0,816
353664,342787,807
0,0,811
0,0,807
0,0,794
0,0,799
596749,561904,818
942660,944956,801
0,0,812
0,0,792
596749,561904,819
0,0,812
0,0,820
0,0,817
0,0,792
0,0,804
0,0,811
194264,192570,802
0,0,817
0,0,820
0,0,818
0,0,800
0,0,820
0,0,798
108241,107041,818
18888,18517,811
596749,561904,819
0,0,793
0,0,819
0,0,808
0,0,805
0,0,810
0,0,798
353664,342787,811
0,0,797
596749,561904,819
0,0,817
823844,815195,820
353664,342787,793
0,0,811
194264,192570,804
0,0,792
0,0,809
0,0,819
0,0,814
596749,561904,819
0,0,805
372227,304568,814
596749,561904,818
0,0,797
0,0,792
0,0,805
0,0,791
0,0,818
0,0,813
596749,561904,819
0,0,819
0,0,819
0,0,805
596749,561904,818
596749,561904,819
596749,561904,818
34089,34114,819
596749,561904,819
0,0,804
108241,107041,817
0,0,818
708220,627936,790
0,0,815
0,0,810
569990,975522,806
0,0,812
17913,17979,792
569990,975522,811
714,782,820
0,0,819
17913,17979,817
12033,12283,792
12033,12283,796
0,0,817
0,0,814
0,0,806
0,0,817
0,0,812
12033,12283,791
596749,561904,819
0,0,798
0,0,815
0,0,811
596749,561904,819
625017,615966,791
596749,561904,818
1393286,1241968,811
0,0,818
247038,239922,816
0,0,812
0,0,803
596749,561904,819
625017,615966,802
0,0,808
596749,561904,819
17913,17979,793
714,782,820
0,0,800
0,0,809
0,0,818
0,0,820
0,0,809
0,0,819
0,0,791
596749,561904,819
0,0,811
23390,23847,807
12033,12283,814
0,0,819
0,0,820
0,0,817
0,0,814
0,0,812
17913,17979,795
0,0,814
353664,342787,819
0,0,808
10075,10561,812
0,0,809
10075,10561,816
0,0,819
942660,944956,811
625017,615966,795
353664,342787,793
0,0,811
569990,975522,807
596749,561904,818
942660,944956,795
0,0,817
0,0,800
108241,107041,790
0,0,804
596749,561904,819
0,0,817
0,0,820
0,0,818
0,0,809
0,0,818
17913,17979,818
0,0,815
537448,523515,810
17913,17979,798
894063,903261,797
0,0,802
10075,10561,804
0,0,814
353664,342787,799
17913,17979,797
0,0,814
714,782,820
0,0,800
942660,944956,819
0,0,812
108241,107041,808
0,0,817
0,0,790
0,0,815
596749,561904,818
894063,903261,796
0,0,790
0,0,813
0,0,811
0,0,806
0,0,816
77742,76522,816
23390,23847,812
0,0,813
0,0,818
17913,17979,811
17913,17979,792
17913,17979,792
0,0,819
0,0,792
1393286,1241968,812
0,0,797
17913,17979,797
0,0,815
17913,17979,813
353664,342787,806
0,0,819
0,0,809
0,0,802
0,0,819
942660,944956,800
0,0,818
0,0,819
0,0,805
0,0,818
194264,192570,803
596749,561904,818
569990,975522,811
0,0,814
596749,561904,819
0,0,808
0,0,816
0,0,818
17913,17979,791
353664,342787,803
1393286,1241968,810
596749,561904,819
597340,618906,807
0,0,812
0,0,820
0,0,801
0,0,815
0,0,809
596749,561904,819
59051,60734,802
0,0,794
0,0,814
0,0,806
353664,342787,805
12033,12283,804
0,0,816
0,0,812
596749,561904,818
0,0,799
0,0,820
0,0,812
0,0,812
0,0,804
0,0,797
353664,342787,801
0,0,819
0,0,807
101615,104812,813
596749,561904,819
0,0,790
0,0,820
0,0,817
353664,342787,794
0,0,800
0,0,816
17913,17979,817
0,0,790
0,0,809
127093,128617,813
0,0,792
0,0,802
0,0,805
0,0,820
0,0,803
894063,903261,797
0,0,818
12033,12283,799
894063,903261,818
0,0,819
0,0,811
0,0,811
0,0,817
353664,342787,820
0,0,800
0,0,802
0,0,814
0,0,814
0,0,810
894063,903261,801
0,0,811
0,0,809
0,0,817
59051,60734,803
596749,561904,818
596749,561904,818
0,0,818
198924,200473,807
0,0,813
0,0,818
0,0,793
0,0,798
0,0,814
0,0,814
0,0,800
894063,903261,804
0,0,813
0,0,815
0,0,806
353664,342787,812
0,0,818
353664,342787,806
0,0,815
0,0,815
569990,975522,807
0,0,819
0,0,792
0,0,812
569990,975522,820
0,0,805
0,0,791
0,0,818
127093,128617,814
569990,975522,814
596749,561904,818
596749,561904,818
569990,975522,819
0,0,817
0,0,820
0,0,807
0,0,805
0,0,799
596749,561904,819
353664,342787,805
569990,975522,811
1393286,1241968,819
127093,128617,814
0,0,794
0,0,818
0,0,805
596749,561904,819
596749,561904,819
569990,975522,807
569990,975522,810
0,0,812
0,0,802
0,0,808
0,0,820
0,0,812
0,0,802
569990,975522,806
0,0,799
596749,561904,818
0,0,813
0,0,792
0,0,819
353664,342787,812
0,0,814
0,0,808
596749,561904,818
569990,975522,815
353664,342787,793
0,0,818
108241,107041,790
596749,561904,818
569990,975522,811
0,0,799
569990,975522,806
0,0,792
372227,304568,796
596749,561904,818
34089,34114,790
569990,975522,815
0,0,804
0,0,812
0,0,813
0,0,811
0,0,815
34089,34114,806
0,0,816
569990,975522,807
108241,107041,803
596749,561904,818
353664,342787,797
0,0,816
0,0,802
0,0,820
0,0,820
0,0,809
0,0,799
0,0,805
0,0,817
0,0,801
0,0,808
569990,975522,806
353664,342787,805
0,0,793
625017,615966,803
4155,4342,810
0,0,793
0,0,812
569990,975522,808
569990,975522,814
34089,34114,811
596749,561904,819
0,0,815
0,0,814
353664,342787,807
0,0,811
0,0,812
353664,342787,812
108241,107041,813
0,0,809
0,0,809
569990,975522,820
596749,561904,818
0,0,802
353664,342787,807
0,0,803
0,0,818
353664,342787,807
0,0,806
0,0,807
127093,128617,818
0,0,819
18143,17613,797
616717,596782,810
194264,192570,808
353664,342787,806
569990,975522,813
0,0,820
0,0,814
0,0,816
353664,342787,793
0,0,817
353664,342787,793
596749,561904,818
0,0,797
353664,342787,797
0,0,809
0,0,819
861450,811206,798
0,0,808
17913,17979,792
353664,342787,806
44978,43166,812
0,0,805
0,0,818
0,0,797
0,0,812
0,0,806
246991,243639,808
194264,192570,811
596749,561904,819
0,0,820
0,0,812
596749,561904,819
353664,342787,801
12033,12283,801
0,0,818
0,0,815
0,0,807
353664,342787,801
0,0,814
596749,561904,818
353664,342787,813
569990,975522,812
0,0,813
0,0,799
996057,739361,811
44978,43166,806
0,0,792
823844,815195,818
569990,975522,811
569990,975522,806
0,0,801
0,0,793
0,0,792
0,0,818
59051,60734,812
0,0,811
0,0,811
596749,561904,818
353664,342787,811
569990,975522,818
596749,561904,818
0,0,812
0,0,790
0,0,812
596749,561904,819
0,0,798
108241,107041,817
596749,561904,819
0,0,813
942660,944956,803
942660,944956,809
353664,342787,793
0,0,817
0,0,818
108241,107041,819
0,0,798
823844,815195,819
353664,342787,793
0,0,809
0,0,817
0,0,799
0,0,805
596749,561904,818
942660,944956,810
0,0,810
353664,342787,808
596749,561904,818
0,0,813
0,0,805
0,0,818
942660,944956,820
569990,975522,815
0,0,805
17913,17979,818
372227,304568,816
569990,975522,805
0,0,820
0,0,801
0,0,804
0,0,804
823844,815195,804
0,0,804
894063,903261,793
596749,561904,818
0,0,819
596749,561904,819
0,0,796
0,0,814
596749,561904,819
12033,12283,792
0,0,807
0,0,809
0,0,807
0,0,795
942660,944956,802
596749,561904,818
0,0,817
0,0,820
127093,128617,819
10075,10561,803
0,0,805
0,0,819
17913,17979,799
0,0,807
0,0,820
0,0,818
0,0,818
0,0,819
894063,903261,793
0,0,805
0,0,813
596749,561904,818
894063,903261,799
416437,418488,819
17913,17979,809
0,0,819
0,0,817
0,0,809
0,0,815
0,0,801
0,0,818
0,0,814
569990,975522,819
0,0,820
353664,342787,812
894063,903261,805
0,0,810
849215,908970,817
17913,17979,820
0,0,809
353664,342787,805
0,0,812
353664,342787,806
0,0,805
0,0,815
596749,561904,819
596749,561904,819
0,0,798
0,0,804
353664,342787,805
59051,60734,809
0,0,817
0,0,819
0,0,814
1710,1674,800
0,0,809
353664,342787,806
0,0,800
596749,561904,819
894063,903261,798
194264,192570,816
0,0,817
0,0,820
0,0,812
894063,903261,814
596749,561904,818
17913,17979,802
0,0,819
0,0,806
569990,975522,806
0,0,807
0,0,810
17913,17979,810
0,0,815
0,0,814
894063,903261,794
17913,17979,811
894063,903261,798
17913,17979,802
17913,17979,793
0,0,793
247478,141344,818
569990,975522,811
0,0,811
194264,192570,811
569990,975522,814
0,0,798
17913,17979,802
17913,17979,801
23390,23847,816
0,0,801
0,0,805
569990,975522,813
569990,975522,812
0,0,811
17913,17979,804
625017,615966,800
0,0,819
596749,561904,818
46811,46221,815
0,0,810
596749,561904,818
0,0,810
34089,34114,802
17913,17979,811
34089,34114,814
34089,34114,804
0,0,819
353664,342787,815
0,0,792
894063,903261,804
34089,34114,790
0,0,803
894063,903261,803
942660,944956,806
111715,106115,819
247478,141344,818
17913,17979,796
0,0,810
0,0,816
108241,107041,804
0,0,820
0,0,812
569990,975522,812
0,0,793
569990,975522,812
353664,342787,794
596749,561904,819
569990,975522,812
0,0,818
0,0,811
596749,561904,819
0,0,801
596749,561904,818
353664,342787,806
17913,17979,804
0,0,811
17913,17979,795
625017,615966,791
0,0,809
894063,903261,807
0,0,812
31181,31205,818
17913,17979,791
17913,17979,801
569990,975522,812
596749,561904,819
0,0,814
0,0,816
569990,975522,805
596749,561904,818
0,0,814
17913,17979,816
0,0,812
0,0,811
0,0,803
569990,975522,807
894063,903261,805
942660,944956,803
34089,34114,811
569990,975522,813
569990,975522,807
0,0,814
0,0,808
569990,975522,814
1393286,1241968,808
569990,975522,813
0,0,798
596749,561904,819
17913,17979,800
0,0,813
569990,975522,807
0,0,790
0,0,820
569990,975522,819
569990,975522,806
569990,975522,808
569990,975522,811
596749,561904,818
569990,975522,814
569990,975522,811
569990,975522,814
596749,561904,819
569990,975522,806
569990,975522,805
569990,975522,815
422556,424165,819
569990,975522,806
34089,34114,804
0,0,803
596749,561904,819
569990,975522,814
0,0,800
0,0,814
353664,342787,794
569990,975522,820
0,0,819
0,0,802
353664,342787,806
0,0,803
569990,975522,817
569990,975522,814
569990,975522,812
596749,561904,818
942660,944956,820
0,0,814
596749,561904,819
569990,975522,814
569990,975522,813
0,0,820
0,0,817
0,0,802
0,0,802
0,0,816
353664,342787,807
569990,975522,818
569990,975522,814
0,0,808
0,0,797
596749,561904,819
596749,561904,818
894063,903261,819
596749,561904,818
569990,975522,806
0,0,818
0,0,808
0,0,816
0,0,802
372227,304568,798
569990,975522,812
353664,342787,794
569990,975522,819
247478,141344,820
569990,975522,814
353664,342787,814
0,0,803
0,0,806
0,0,807
0,0,820
0,0,810
0,0,814
0,0,817
0,0,819
596749,561904,819
0,0,802
0,0,820
0,0,793
0,0,818
942660,944956,819
569990,975522,818
823844,815195,804
0,0,791
0,0,792
0,0,806
0,0,819
0,0,813
0,0,812
569990,975522,816
616717,596782,819
0,0,815
0,0,803
0,0,808
353664,342787,814
0,0,800
17913,17979,790
0,0,817
0,0,806
0,0,819
17913,17979,820
0,0,802
596749,561904,819
0,0,811
596749,561904,818
0,0,801
0,0,808
0,0,794
0,0,805
0,0,792
1402,1375,811
353664,342787,805
596749,561904,818
0,0,808
0,0,818
17913,17979,802
596749,561904,819
0,0,818
59051,60734,818
0,0,790
0,0,792
569990,975522,815
724899,724899,800
353664,342787,806
108241,107041,813
372227,304568,814
0,0,818
0,0,812
353664,342787,808
17913,17979,799
0,0,793
894063,903261,815
17913,17979,810
894063,903261,819
569990,975522,808
353664,342787,807
569990,975522,813
0,0,815
194264,192570,799
0,0,808
569990,975522,806
0,0,817
0,0,805
0,0,817
569990,975522,819
353664,342787,814
0,0,812
596749,561904,818
17913,17979,819
353664,342787,806
10075,10561,802
0,0,793
0,0,805
714,782,820
0,0,814
569990,975522,812
0,0,814
569990,975522,806
0,0,793
0,0,802
0,0,798
0,0,811
569990,975522,807
0,0,815
353664,342787,793
569990,975522,806
0,0,811
0,0,820
569990,975522,813
127093,128617,814
0,0,798
596749,561904,819
569990,975522,806
0,0,806
0,0,811
0,0,804
569990,975522,805
0,0,820
0,0,818
569990,975522,806
894063,903261,792
10252,10661,816
0,0,804
714,782,820
569990,975522,806
0,0,809
353664,342787,806
569990,975522,815
596749,561904,819
0,0,796
569990,975522,808
127093,128617,818
596749,561904,819
569990,975522,805
0,0,810
34089,34114,802
0,0,808
4155,4342,804
0,0,810
0,0,803
0,0,819
0,0,808
569990,975522,815
